                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0126,                0.91573,                 1.2099,                0.76307,                0.80766,                0.81392,                0.53968,                 1.3029,                 1.2969,                 1.4082,             0.00099001,             0.00099001,             0.00099001
                     36,                 1.0213,                0.87699,                  1.203,                0.76976,                0.73875,                0.79312,                0.50773,                  1.346,                 1.1876,                 1.4648,             0.00098635,             0.00098635,             0.00098635
                     37,                 1.0083,                0.89196,                 1.1817,                0.70305,                0.67445,                0.73547,                0.47966,                 1.3007,                 1.3024,                 1.4017,             0.00098268,             0.00098268,             0.00098268
                     38,                0.99874,                0.88724,                 1.1786,                0.77235,                0.75553,                0.82196,                0.53958,                 1.3029,                 1.1592,                 1.3785,             0.00097901,             0.00097901,             0.00097901
                     39,                 1.0161,                0.85854,                 1.1946,                0.76551,                0.81252,                 0.8388,                0.54883,                 1.2705,                 1.0802,                 1.3509,             0.00097535,             0.00097535,             0.00097535
                     40,                0.98699,                0.83114,                  1.182,                 0.8114,                0.79106,                0.84988,                0.55332,                 1.2885,                  1.113,                 1.4122,             0.00097168,             0.00097168,             0.00097168
                     41,                0.99182,                0.84049,                 1.1763,                 0.7804,                 0.8377,                0.86362,                0.56978,                 1.2584,                 1.0015,                  1.409,             0.00096801,             0.00096801,             0.00096801
                     42,                0.95358,                0.78726,                 1.1736,                0.78653,                0.84232,                0.84529,                0.55589,                 1.3073,                0.95705,                 1.4496,             0.00096435,             0.00096435,             0.00096435
                     43,                  1.011,                0.85651,                 1.2163,                0.80113,                0.84201,                0.84503,                0.54443,                   1.29,                 1.0854,                  1.391,             0.00096068,             0.00096068,             0.00096068
                     44,                0.99792,                0.82151,                 1.1867,                0.77146,                0.87798,                  0.843,                 0.5453,                 1.2765,                0.99963,                 1.4045,             0.00095702,             0.00095702,             0.00095702
                     45,                 1.0019,                 0.8237,                 1.1807,                0.76198,                0.84559,                0.85471,                0.56525,                 1.2351,                0.93691,                 1.3692,             0.00095335,             0.00095335,             0.00095335
                     46,                0.94089,                0.76015,                 1.1528,                0.78393,                0.82433,                0.85547,                0.56082,                 1.2408,                0.91282,                 1.3606,             0.00094968,             0.00094968,             0.00094968
                     47,                0.96562,                0.80181,                 1.1762,                0.70323,                0.74182,                0.79771,                0.50937,                 1.3631,                 1.1097,                  1.463,             0.00094602,             0.00094602,             0.00094602
                     48,                0.95561,                0.78684,                 1.1381,                0.76247,                0.81283,                0.82574,                0.56263,                 1.2053,                0.96299,                 1.3434,             0.00094235,             0.00094235,             0.00094235
                     49,                0.93976,                0.77198,                 1.1671,                0.81874,                0.81254,                 0.8398,                0.55821,                   1.24,                0.96719,                 1.3575,             0.00093868,             0.00093868,             0.00093868
                     50,                0.96084,                0.77029,                 1.1604,                0.77056,                0.73056,                0.76341,                 0.5218,                  1.235,                 1.1063,                 1.3582,             0.00093502,             0.00093502,             0.00093502
                     51,                0.94201,                0.77407,                 1.1737,                0.74367,                0.71362,                0.75504,                0.52874,                  1.267,                 1.1775,                 1.3599,             0.00093135,             0.00093135,             0.00093135
                     52,                 0.9117,                0.80046,                 1.1453,                 0.8155,                 0.6245,                0.73042,                0.48241,                 1.2979,                  1.311,                 1.3864,             0.00092769,             0.00092769,             0.00092769
                     53,                0.95599,                0.77073,                 1.1675,                0.83149,                 0.6351,                0.73279,                0.50381,                 1.2518,                 1.2947,                 1.4086,             0.00092402,             0.00092402,             0.00092402
                     54,                0.95091,                0.72703,                 1.1469,                0.80296,                0.67932,                0.74479,                0.48871,                 1.2801,                 1.2179,                 1.4246,             0.00092035,             0.00092035,             0.00092035
                     55,                0.91775,                0.77392,                 1.1636,                0.75949,                0.74871,                0.77473,                0.51338,                 1.2679,                 1.2087,                  1.412,             0.00091669,             0.00091669,             0.00091669
                     56,                0.93975,                0.73762,                 1.1357,                0.79112,                0.81046,                0.82616,                 0.5509,                 1.2276,                 1.0151,                 1.3587,             0.00091302,             0.00091302,             0.00091302
                     57,                 0.9272,                0.71548,                 1.1556,                0.71225,                0.82706,                0.80677,                0.54426,                 1.2267,                 1.0173,                 1.3659,             0.00090935,             0.00090935,             0.00090935
                     58,                0.93592,                0.73898,                 1.1675,                0.74841,                0.78913,                0.81738,                0.54032,                 1.2323,                 1.1035,                 1.3834,             0.00090569,             0.00090569,             0.00090569
                     59,                 0.9258,                0.74702,                 1.1458,                0.74366,                0.73799,                0.78769,                0.52329,                 1.2784,                 1.0886,                 1.4062,             0.00090202,             0.00090202,             0.00090202
                     60,                0.89103,                0.71528,                 1.1348,                0.74393,                0.74893,                 0.8039,                0.54089,                 1.2251,                 1.1587,                 1.3707,             0.00089835,             0.00089835,             0.00089835
                     61,                0.89043,                0.69096,                 1.1331,                0.77878,                 0.8904,                0.85886,                0.56966,                 1.2564,                 0.9518,                 1.3851,             0.00089469,             0.00089469,             0.00089469
                     62,                0.87415,                0.66509,                  1.109,                0.76597,                0.80271,                0.84931,                  0.568,                 1.2451,                0.95114,                  1.388,             0.00089102,             0.00089102,             0.00089102
